time_s,T_actual,T_measured,u_bin,u_frac
0.000000,18.033167,17.995700,1,0.120169
1.000000,18.066335,18.078400,1,0.117727
2.000000,18.099501,18.116497,1,0.116623
3.000000,18.132668,18.113522,1,0.116751
4.000000,18.132666,18.138477,0,0.116041
5.000000,18.132665,18.195137,0,0.114380
6.000000,18.132663,18.221433,0,0.113628
7.000000,18.132662,18.086794,0,0.117707
8.000000,18.132660,18.185433,0,0.114786
9.000000,18.132659,18.137928,0,0.116249
10.000000,18.132658,18.105432,0,0.117263
11.000000,18.132656,18.102179,0,0.117400
12.000000,18.132655,18.168272,0,0.115455
13.000000,18.132653,18.174651,0,0.115302
14.000000,18.132652,18.173525,0,0.115374
15.000000,18.132650,18.157877,0,0.115882
16.000000,18.132649,18.176750,0,0.115354
17.000000,18.132647,18.079605,0,0.118308
18.000000,18.132646,18.116372,0,0.117244
19.000000,18.132644,18.046330,0,0.119384
20.000000,18.132643,18.138881,0,0.116646
21.000000,18.132641,18.030034,0,0.119952
22.000000,18.132640,18.115180,0,0.117436
23.000000,18.132638,18.077070,0,0.118619
24.000000,18.132637,18.097169,0,0.118055
25.000000,18.132636,18.159460,0,0.116224
26.000000,18.132634,18.108964,0,0.117778
27.000000,18.132633,18.077117,0,0.118773
28.000000,18.132631,18.098069,0,0.118183
29.000000,18.132630,18.079402,0,0.118782
30.000000,18.165796,18.134710,1,0.117162
31.000000,18.198961,18.128309,1,0.117393
32.000000,18.232127,18.170080,1,0.116178
33.000000,18.265292,18.214212,1,0.114892
34.000000,18.265289,18.232789,0,0.114372
35.000000,18.265286,18.323144,0,0.111698
36.000000,18.265283,18.196098,0,0.115548
37.000000,18.265280,18.337173,0,0.111352
38.000000,18.265277,18.251117,0,0.113971
39.000000,18.265274,18.222684,0,0.114862
40.000000,18.265271,18.266379,0,0.113588
41.000000,18.265268,18.353398,0,0.111014
42.000000,18.265265,18.341215,0,0.111416
43.000000,18.265262,18.194910,0,0.115844
44.000000,18.265259,18.320722,0,0.112106
45.000000,18.265256,18.223915,0,0.115048
46.000000,18.265253,18.263737,0,0.113891
47.000000,18.265251,18.272701,0,0.113659
48.000000,18.265248,18.366174,0,0.110891
49.000000,18.265245,18.200201,0,0.115908
50.000000,18.265242,18.256132,0,0.114268
51.000000,18.265239,18.271856,0,0.113833
52.000000,18.265236,18.261338,0,0.114186
53.000000,18.265233,18.221661,0,0.115414
54.000000,18.265230,18.342638,0,0.111822
55.000000,18.265227,18.294425,0,0.113305
56.000000,18.265224,18.239589,0,0.114988
57.000000,18.265221,18.284055,0,0.113691
58.000000,18.265218,18.272508,0,0.114075
59.000000,18.265215,18.270470,0,0.114173
60.000000,18.298380,18.284032,1,0.113803
61.000000,18.331544,18.239324,1,0.115182
62.000000,18.364708,18.344288,1,0.112070
63.000000,18.364704,18.413098,0,0.110041
64.000000,18.364700,18.373965,0,0.111252
65.000000,18.364696,18.364673,0,0.111567
66.000000,18.364692,18.355433,0,0.111880
67.000000,18.364688,18.360793,0,0.111756
68.000000,18.364684,18.381529,0,0.111170
69.000000,18.364680,18.376539,0,0.111356
70.000000,18.364676,18.234332,0,0.115660
71.000000,18.364672,18.330541,0,0.112810
72.000000,18.364668,18.301904,0,0.113706
73.000000,18.364664,18.367094,0,0.111787
74.000000,18.364660,18.426667,0,0.110036
75.000000,18.364655,18.375511,0,0.111607
76.000000,18.364651,18.253677,0,0.115299
77.000000,18.364647,18.241013,0,0.115717
78.000000,18.364643,18.367531,0,0.111957
79.000000,18.364639,18.423629,0,0.110310
80.000000,18.364635,18.289748,0,0.114364
81.000000,18.364631,18.409609,0,0.110804
82.000000,18.364627,18.317572,0,0.113602
83.000000,18.364623,18.369132,0,0.112091
84.000000,18.364619,18.358218,0,0.112455
85.000000,18.364615,18.425562,0,0.110470
86.000000,18.364611,18.302834,0,0.114189
87.000000,18.364607,18.374321,0,0.112081
88.000000,18.364603,18.406434,0,0.111153
89.000000,18.364599,18.292142,0,0.114619
90.000000,18.397763,18.296644,1,0.114521
91.000000,18.430926,18.520214,1,0.107849
92.000000,18.464088,18.419523,1,0.110906
93.000000,18.464083,18.371528,0,0.112382
94.000000,18.464078,18.431318,0,0.110624
95.000000,18.464073,18.494978,0,0.108749
96.000000,18.464068,18.459597,0,0.109846
97.000000,18.464063,18.440140,0,0.110465
98.000000,18.464058,18.460041,0,0.109903
99.000000,18.464052,18.470839,0,0.109615
100.000000,18.464047,18.523603,0,0.108067
101.000000,18.464042,18.438945,0,0.110642
102.000000,18.464037,18.478324,0,0.109496
103.000000,18.464032,18.437722,0,0.110749
104.000000,18.464027,18.462277,0,0.110048
105.000000,18.464022,18.505476,0,0.108787
106.000000,18.464017,18.479542,0,0.109600
107.000000,18.464011,18.478965,0,0.109653
108.000000,18.464006,18.472257,0,0.109889
109.000000,18.464001,18.484013,0,0.109572
110.000000,18.463996,18.460562,0,0.110311
111.000000,18.463991,18.403136,0,0.112070
112.000000,18.463986,18.454563,0,0.110562
113.000000,18.463981,18.477521,0,0.109909
114.000000,18.463975,18.463432,0,0.110367
115.000000,18.463970,18.437264,0,0.111187
116.000000,18.463965,18.637632,0,0.105210
117.000000,18.463960,18.397283,0,0.112457
118.000000,18.463955,18.480456,0,0.109997
119.000000,18.463950,18.356068,0,0.113765
120.000000,18.497112,18.496687,1,0.109581
121.000000,18.530274,18.438187,1,0.111372
122.000000,18.563436,18.576971,1,0.107242
123.000000,18.563430,18.565290,0,0.107627
124.000000,18.563423,18.595879,0,0.106744
125.000000,18.563417,18.592899,0,0.106867
126.000000,18.563411,18.512416,0,0.109316
127.000000,18.563405,18.552758,0,0.108141
128.000000,18.563398,18.583544,0,0.107251
129.000000,18.563392,18.495120,0,0.109939
130.000000,18.563386,18.656052,0,0.105144
131.000000,18.563380,18.547734,0,0.108429
132.000000,18.563374,18.606909,0,0.106687
133.000000,18.563367,18.570153,0,0.107824
134.000000,18.563361,18.662066,0,0.105100
135.000000,18.563355,18.587148,0,0.107382
136.000000,18.563349,18.575779,0,0.107757
137.000000,18.563342,18.653137,0,0.105470
138.000000,18.563336,18.559380,0,0.108317
139.000000,18.563330,18.545081,0,0.108780
140.000000,18.563324,18.556437,0,0.108474
141.000000,18.563317,18.605531,0,0.107035
142.000000,18.563311,18.510786,0,0.109913
143.000000,18.563305,18.581995,0,0.107811
144.000000,18.563299,18.441765,0,0.112053
145.000000,18.563293,18.614542,0,0.106904
146.000000,18.563286,18.581576,0,0.107927
147.000000,18.563280,18.578588,0,0.108051
148.000000,18.563274,18.618204,0,0.106896
149.000000,18.563268,18.564101,0,0.108553
150.000000,18.596429,18.523052,1,0.109820
151.000000,18.629590,18.590117,1,0.107842
152.000000,18.662750,18.655624,1,0.105910
153.000000,18.662743,18.666065,0,0.105630
154.000000,18.662736,18.688817,0,0.104981
155.000000,18.662728,18.686908,0,0.105071
156.000000,18.662721,18.648094,0,0.106269
157.000000,18.662714,18.690288,0,0.105036
158.000000,18.662706,18.649790,0,0.106285
159.000000,18.662699,18.627935,0,0.106974
160.000000,18.662692,18.647109,0,0.106432
161.000000,18.662684,18.637709,0,0.106748
162.000000,18.662677,18.652964,0,0.106324
163.000000,18.662670,18.697322,0,0.105026
164.000000,18.662662,18.616624,0,0.107481
165.000000,18.662655,18.630883,0,0.107087
166.000000,18.662648,18.682482,0,0.105572
167.000000,18.662640,18.682430,0,0.105607
168.000000,18.662633,18.687222,0,0.105496
169.000000,18.662626,18.595582,0,0.108279
170.000000,18.662619,18.614438,0,0.107748
171.000000,18.662611,18.610942,0,0.107886
172.000000,18.662604,18.622134,0,0.107584
173.000000,18.662597,18.701426,0,0.105239
174.000000,18.662589,18.612280,0,0.107947
175.000000,18.662582,18.648917,0,0.106881
176.000000,18.662575,18.633042,0,0.107391
177.000000,18.662567,18.615670,0,0.107946
178.000000,18.662560,18.730640,0,0.104530
179.000000,18.662553,18.584486,0,0.108948
180.000000,18.695713,18.689075,1,0.105844
181.000000,18.728873,18.686045,1,0.105968
182.000000,18.762032,18.707654,1,0.105353
183.000000,18.762024,18.618940,0,0.108048
184.000000,18.762015,18.751101,0,0.104116
185.000000,18.762007,18.795631,0,0.102812
186.000000,18.761998,18.700301,0,0.105705
187.000000,18.761990,18.759163,0,0.103971
188.000000,18.761981,18.779460,0,0.103394
189.000000,18.761973,18.784198,0,0.103284
190.000000,18.761965,18.773721,0,0.103631
191.000000,18.761956,18.766592,0,0.103877
192.000000,18.761948,18.742722,0,0.104626
193.000000,18.761939,18.637259,0,0.107823
194.000000,18.761931,18.761204,0,0.104137
195.000000,18.761922,18.732968,0,0.105017
196.000000,18.761914,18.754961,0,0.104390
197.000000,18.761906,18.830094,0,0.102168
198.000000,18.761897,18.784505,0,0.103567
199.000000,18.761889,18.790895,0,0.103408
200.000000,18.761880,18.777092,0,0.103854
201.000000,18.761872,18.838147,0,0.102054
202.000000,18.761864,18.720039,0,0.105630
203.000000,18.761855,18.739890,0,0.105067
204.000000,18.761847,18.737506,0,0.105171
205.000000,18.761838,18.719702,0,0.105738
206.000000,18.761830,18.820840,0,0.102736
207.000000,18.761821,18.715850,0,0.105918
208.000000,18.761813,18.749796,0,0.104933
209.000000,18.761805,18.656832,0,0.107755
210.000000,18.794964,18.796519,1,0.103596
211.000000,18.828122,18.737026,1,0.105414
212.000000,18.861281,18.906420,1,0.100363
213.000000,18.861271,18.887324,0,0.100967
214.000000,18.861262,18.839553,0,0.102432
215.000000,18.861252,18.942034,0,0.099388
216.000000,18.861243,18.878126,0,0.101336
217.000000,18.861233,18.854858,0,0.102066
218.000000,18.861224,18.818339,0,0.103193
219.000000,18.861214,18.920787,0,0.100150
220.000000,18.861204,18.853735,0,0.102193
221.000000,18.861195,18.892996,0,0.101047
222.000000,18.861185,18.944064,0,0.099545
223.000000,18.861176,18.867824,0,0.101864
224.000000,18.861166,18.867322,0,0.101910
225.000000,18.861157,18.900349,0,0.100950
226.000000,18.861147,18.797940,0,0.104055
227.000000,18.861138,18.871983,0,0.101865
228.000000,18.861128,18.799684,0,0.104066
229.000000,18.861119,18.891220,0,0.101351
230.000000,18.861109,18.949008,0,0.099647
231.000000,18.861100,18.798106,0,0.104207
232.000000,18.861090,18.942106,0,0.099917
233.000000,18.861081,18.861219,0,0.102375
234.000000,18.861071,18.920930,0,0.100615
235.000000,18.861062,18.904304,0,0.101144
236.000000,18.861052,18.800390,0,0.104294
237.000000,18.861043,18.952087,0,0.099773
238.000000,18.861033,18.920382,0,0.100755
239.000000,18.861024,18.868131,0,0.102354
240.000000,18.894182,18.803836,1,0.104315
241.000000,18.927339,18.881998,1,0.102001
242.000000,18.960496,18.867594,1,0.102465
243.000000,18.960486,18.993494,0,0.098718
244.000000,18.960475,18.853855,0,0.102938
245.000000,18.960465,18.938584,0,0.100427
246.000000,18.960454,19.029953,0,0.097716
247.000000,18.960443,18.827731,0,0.103814
248.000000,18.960433,18.954141,0,0.100052
249.000000,18.960422,19.022313,0,0.098037
